pull_time,created_time,advertiser_id,advertiser_name,advertiser_show_status,advertiser_type,timezone,currency,account_days,balance_reminder,company,contact_name,contact_email,create_time,first_recharge_cash,first_recharge_time,latest_recharge_time,recharge_amount,recharge_count,account_balance,valid_account_balance,frozen_balance,tax,cash_balance,valid_cash_balance,grant_balance,valid_grant_balance,bc_id,file_path
2022-09-02,2022-09-02 15:17:55,7080425098397728769,NYJTX-04-bv-lb-LUN KEI ONLINE TECHNOLOGY LIMITED-深圳市巨红网络科技有限公司-20220328,SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,157,,深圳市巨红网络科技有限公司,,,2022-03-29 07:46:10,10000.0,2022-03-30 05:52:58,2022-03-30 05:52:58,10000.0,1,,,,,,,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080425020031401986,NYJTX-03-bv-lb-LUN KEI ONLINE TECHNOLOGY LIMITED-深圳市巨红网络科技有限公司-20220328,SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,157,,深圳市巨红网络科技有限公司,,,2022-03-29 07:46:14,10000.0,2022-03-30 05:53:16,2022-03-30 05:53:16,10000.0,1,,,,,,,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080425104940744706,NTKDEN-01-bv-lb-LUN KEI ONLINE TECHNOLOGY LIMITED-深圳市巨红网络科技有限公司-20220328,SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,157,,深圳市巨红网络科技有限公司,,,2022-03-29 07:46:18,10000.0,2022-03-30 05:53:24,2022-03-30 05:53:24,10000.0,1,9797.23,9797.23,,,9797.23,9797.23,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080427354140524545,bv-jsj-Marine Interactive Entertainment Limited-杭州河豚网络科技有限公司,SHOW_ACCOUNT_STATUS_NOT_APPROVED,AUCTION,Etc/GMT,USD,157,,杭州河豚网络科技有限公司,,,2022-03-29 07:54:58,,,,,,,,,,,,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080448335961702402,thehalara-Bluevision-1,SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,157,,北京全速在线科技有限公司,,,2022-03-29 09:16:42,20000.0,2022-04-12 03:30:01,2022-07-29 06:30:51,850000.0,6,58421.45,58421.45,,,58421.45,58421.45,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080449718605725697,"bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED-深圳市朝恩电子科技有限公司",SHOW_ACCOUNT_STATUS_NOT_APPROVED,AUCTION,Asia/Shanghai,USD,157,,深圳市朝恩电子科技有限公司,,,2022-03-29 09:22:25,,,,,,,,,,,,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080450102560555010,"bv-lj-HONGKONG SHIZE DIGITAL TECHNOLOGY CO., LIMITED-东莞皖信服饰有限公司",SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,东莞皖信服饰有限公司,,,2022-03-29 09:22:47,10000.0,2022-03-30 06:56:25,2022-03-30 06:56:25,10000.0,1,10000.0,10000.0,,,10000.0,10000.0,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080450400234504194,"bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED-深圳市进宝山科技有限公司",SHOW_ACCOUNT_STATUS_NOT_APPROVED,AUCTION,Asia/Shanghai,USD,157,,深圳市进宝山科技有限公司,,,2022-03-29 09:24:16,,,,,,,,,,,,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080450534355877890,"崔蒙-1-广州市途外皮具有限公司-蓝标-bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,157,,广州市途外皮具有限公司,,,2022-03-29 09:25:30,5000.0,2022-03-31 06:26:22,2022-03-31 06:26:22,5000.0,1,4709.8,4709.8,,,4709.8,4709.8,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080451115493523458,"bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED-义乌市海派玩具有限公司",SHOW_ACCOUNT_STATUS_NOT_APPROVED,AUCTION,Asia/Shanghai,USD,157,,义乌市海派玩具有限公司,,,2022-03-29 09:26:59,,,,,,,,,,,,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080451500547375105,东莞市柯林纺织制品有限公司-1-蓝标,SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,东莞市柯林纺织制品有限公司,,,2022-03-29 09:28:54,5000.0,2022-03-31 06:28:37,2022-03-31 06:28:37,5000.0,1,945.22,945.22,,,945.22,945.22,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080452302712193025,"bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED-中山市卓质光电科技有限公司",SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,中山市卓质光电科技有限公司,,,2022-03-29 09:31:31,5000.0,2022-04-02 06:46:11,2022-04-02 06:46:11,5000.0,1,4758.32,4758.32,,,4758.32,4758.32,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080452404558168066,"鸿宇电子1-Bluefocus-TTbv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,157,,东莞市鸿宇电子商务有限公司,,,2022-03-29 09:31:47,5000.0,2022-03-31 06:27:14,2022-03-31 06:27:14,5000.0,1,4842.23,4842.23,,,4842.23,4842.23,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080454536879538177,萌-泗县若溪服饰-9,SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,泗县若溪服饰有限公司,,,2022-03-29 09:40:25,5000.0,2022-03-31 06:29:33,2022-03-31 06:29:33,5000.0,1,4943.63,4943.63,,,4943.63,4943.63,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080459987750879234,"bv-lj-HONGKONG NEW WORLD DIGITAL TECH CO., LIMITED-杭州蛙趣电子商务有限公司",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,157,,杭州蛙趣电子商务有限公司,,,2022-03-29 10:01:18,,,,,,,,,,,,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080465101484048386,"hy2EU-Sky Apps-1-BV-kpq-Singapore Miradream Online Co.,Ltd-天游娱乐股份有限公司",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,157,,"SKY APPS ENTERTAINMENT CO., LIMITED",,,2022-03-29 10:21:06,200000.0,2022-03-30 03:28:54,2022-03-30 03:28:54,200000.0,1,10568.24,10568.24,,,10568.24,10568.24,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080465468926033922,"hy2EUEN-Sky Apps-2-BV-kpq-Singapore Miradream Online Co.,Ltd-天游娱乐股份有限公司",SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Asia/Shanghai,USD,157,,"SKY APPS ENTERTAINMENT CO., LIMITED",,,2022-03-29 10:22:58,200000.0,2022-03-30 03:28:47,2022-03-30 03:28:47,200000.0,1,177376.59,177376.59,,,177376.59,177376.59,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080467338692165633,bv-zc-海南元购科技有限公司,SHOW_ACCOUNT_STATUS_APPROVED,AUCTION,Etc/GMT+9,USD,156,,海南元购科技有限公司,,,2022-03-29 10:30:15,2000.0,2022-04-11 03:56:59,2022-04-11 03:56:59,2000.0,1,2000.0,2000.0,,,2000.0,2000.0,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080468476732735489,96normalliy-1-BV-dgwx-6.17,SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,东莞皖信服饰有限公司,,,2022-03-29 10:34:23,10000.0,2022-03-30 06:56:57,2022-03-30 06:56:57,10000.0,1,5320.0,5320.0,,,5320.0,5320.0,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080471511856906242,96normalliy-2-BV-dgwx-6.17,SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,东莞皖信服饰有限公司,,,2022-03-29 10:45:51,10000.0,2022-03-30 06:57:29,2022-03-30 06:57:29,10000.0,1,4744.91,4744.91,,,4744.91,4744.91,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080471515090714625,"匈牙利gokainde-1-BV-LJ-HONGKONG SHIZE DIGITAL TECHNOLOGY CO., LIMITED=dgwx",SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,东莞皖信服饰有限公司,,,2022-03-29 10:46:56,10000.0,2022-03-30 06:57:05,2022-03-30 06:57:14,20000.0,2,8709.97,8709.97,,,8709.97,8709.97,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080472024258330625,"gokainde-2-BV-LJ-HONGKONG SHIZE DIGITAL TECHNOLOGY CO., LIMITED-东莞皖信服饰有限公司",SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,东莞皖信服饰有限公司,,,2022-03-29 10:48:21,10000.0,2022-03-30 06:56:15,2022-03-30 06:56:15,10000.0,1,8700.86,8700.86,,,8700.86,8700.86,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080472275358662658,匈牙利-kuiasut-1-BV-LJ-dgwx,SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,东莞皖信服饰有限公司,,,2022-03-29 10:49:15,10000.0,2022-03-30 06:56:07,2022-03-30 06:56:07,10000.0,1,9057.38,9057.38,,,9057.38,9057.38,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080472246988439554,匈牙利-kuiasut-2-BV-dgwx,SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,东莞皖信服饰有限公司,,,2022-03-29 10:50:08,10000.0,2022-03-30 06:55:58,2022-03-30 06:55:58,10000.0,1,2347.38,2347.38,,,2347.38,2347.38,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
2022-09-02,2022-09-02 15:17:55,7080472693878980610,"匈牙利1-yer-trip-1-BV-LJ-HONGKONG SHIZE DIGITAL TECHNOLOGY CO., LIMITED-DGWX",SHOW_ACCOUNT_STATUS_PUNISHED,AUCTION,Asia/Shanghai,USD,157,,东莞皖信服饰有限公司,,,2022-03-29 10:51:03,10000.0,2022-03-30 06:55:50,2022-03-30 06:55:50,10000.0,1,9171.51,9171.51,,,9171.51,9171.51,,,7075601066850516994,/tiktok/base_info/advertiser/day/event_date=2022-09-02/caidong.zhu_1662103077_11c3b5c3_2022-09-02.csv
